Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
234644-41,LambdaTest,2018.0575342465754,2022.2547945205479,373.5,1.19,0.4,0,Software Development Applications,0
223655-68,LandscapeHub,2018.1972602739727,2022.109589041096,36.0,12.0,5.4,0,Distributors/Wholesale,0
131250-70,Laoshi,2014.7424657534248,2022.0849315068492,5.0,0.56,0.04,0,Educational and Training Services (B2C),0
54778-69,Larky,2013.2493150684932,2023.194520547945,25.0,1.65,0.65,0,Business/Productivity Software,0
223826-68,Latitude Food Allergy Care,2018.0109589041097,2022.6082191780822,22.69,8.25,2.75,0,Clinics/Outpatient Services,0
155954-35,Lattice,2016.2246575342465,2022.0465753424658,3000.0,1.79,0.13,0,Business/Productivity Software,1
172840-42,LawVu,2016.4164383561645,2022.2739726027398,66.9,1.0,0.1,0,Business/Productivity Software,0
168983-83,Ledger Investing,2017.2164383561644,2022.4520547945206,325.0,1.71,0.12,0,Financial Software,0
314637-85,Legionfarm,2017.0,2022.123287671233,60.0,0.48,0.03,0,Educational and Training Services (B2C),0
171855-82,Lensabl,2017.3123287671233,2022.0739726027398,44.57,2.7,0.7,0,Accessories,0
229154-95,Levelfield Financial,2018.4054794520548,2022.5506849315068,70.0,6.25,0.82,0,Investment Banks,0
107002-99,Levita Magnetics,2017.1808219178083,2022.0821917808219,90.0,39.0,9.0,0,Other Healthcare Services,0
184334-59,LevitasBio,2017.5863013698631,2022.8109589041096,107.0,19.5,8.0,0,Biotechnology,0
55164-25,LifeBook (Publishing),2012.682191780822,2022.5890410958905,5.52,7.73,2.52,0,Publishing,0
167038-57,LifeMine,2017.704109589041,2022.1616438356164,525.0,110.0,70.0,0,Drug Discovery,0
180416-53,Light Field Lab,2017.8328767123287,2022.5123287671233,230.0,19.5,7.0,0,Electronics (B2C),0
114095-98,Lilt,2016.8246575342466,2022.2630136986302,385.0,10.2,3.0,0,Business/Productivity Software,0
57782-62,Liquid X,2013.3835616438357,2022.964383561644,12.4,5.82,1.82,Smart Clothing,Specialty Chemicals,0
42924-88,LiquidX,2013.4767123287672,2022.372602739726,150.0,27.88,10.0,0,Brokerage,0
226362-34,LIV (Entertainment Software),2017.5397260273974,2022.1068493150685,43.5,2.0,0.12,0,Entertainment Software,0
509265-19,LivDay,2018.1397260273973,2022.7205479452055,38.0,2.54,0.54,0,Other Commercial Products,0
109011-97,Loadsmart,2014.9616438356165,2022.0054794520547,1300.0,8.0,3.0,Digital Freight Brokerage,Business/Productivity Software,1
86040-01,LoanStreet,2017.013698630137,2022.0684931506848,125.0,11.5,2.5,0,Financial Software,0
91982-62,Localvore,2015.7479452054795,2022.8328767123287,9.87,2.7,0.7,0,Media and Information Services (B2B),0
160277-86,Locus Robotics,2016.4,2022.876712328767,2000.0,35.25,15.25,Warehouse Management Tech,Other Hardware,1
100569-70,LogPoint,2013.0,2022.2082191780821,100.65,5.03,0.94,0,Network Management Software,0
268531-39,Lokker,2017.1616438356164,2022.2986301369863,21.78,14.0,5.0,0,Network Management Software,0
185293-99,Longeviti,2016.4986301369863,2022.0493150684931,66.0,10.0,2.0,Neurotechnology,Therapeutic Devices,0
225277-48,Loris,2018.0986301369862,2022.3150684931506,60.0,8.0,2.0,0,Business/Productivity Software,0
53840-44,Loverly,2011.4520547945206,2022.704109589041,24.06,2.82,0.49,0,Information Services (B2C),0
172898-74,LucidLink,2016.9205479452055,2022.372602739726,200.0,6.5,1.5,0,Database Software,0
170221-15,Lumendi,2015.2301369863014,2022.5534246575342,101.06,33.08,14.95,0,Surgical Devices,0
185861-08,Luum,2017.6191780821919,2022.1890410958904,23.2,7.0,2.0,0,Other Services (B2C Non-Financial),0
114977-53,Lyra,2015.4219178082192,2022.0493150684931,5850.0,1.43,1.0,0,Other Healthcare Services,1
155024-20,Lyten,2014.786301369863,2022.150684931507,1500.0,9.5,1.5,0,Electrical Equipment,1
113782-69,MacroFab,2014.1972602739727,2023.0465753424658,170.0,0.33,0.12,0,Business/Productivity Software,0
107656-84,MAD,2015.0794520547945,2022.8328767123287,150.0,4.5,1.5,Generative AI,Business/Productivity Software,0
267362-83,Magic Spoon,2018.0,2022.9369863013699,420.0,4.23,1.23,0,Food Products,0
226716-04,Main Street Data,2018.2109589041097,2022.5232876712328,9.74,17.05,2.05,0,Media and Information Services (B2B),0
56368-63,Mainspring,2010.3835616438357,2022.7205479452055,1040.0,8.8,2.8,0,Energy Production,1
169345-18,Maisonette,2018.3917808219178,2022.0876712328768,310.0,37.04,19.54,0,Internet Retail,0
431644-69,Mangomint,2017.3205479452056,2022.964383561644,50.75,4.5,1.5,0,Business/Productivity Software,0
228214-99,Manufactured,2018.4136986301369,2022.3205479452056,19.4,8.0,3.0,0,Business/Productivity Software,0
56373-76,Masabi,2009.9205479452055,2022.158904109589,94.94,3.32,0.17,0,Financial Software,0
185447-53,Material (Consumer Durables),2017.6164383561643,2022.509589041096,23.81,2.4,0.9,0,Other Consumer Durables,0
168524-38,Matillion,2016.9013698630138,2022.4520547945206,1103.18,12.96,5.17,0,Business/Productivity Software,1
113302-18,MAX (Media and Information Services B2B),2015.4136986301369,2022.8,57.0,10.0,3.5,0,Media and Information Services (B2B),0
180189-19,May Mobility,2017.6356164383562,2022.0821917808219,403.0,1.71,0.12,0,Automotive,0
87017-77,MedAware Systems,2014.1561643835616,2022.7205479452055,18.0,1.8,0.2,0,Media and Information Services (B2B),0
135509-68,Medely,2017.2219178082191,2022.186301369863,770.0,17.0,5.0,0,Business/Productivity Software,0
125194-78,Menusifu,2015.2246575342465,2022.5671232876712,144.0,5.8,1.3,0,Business/Productivity Software,0
166100-05,Merci Handy,2016.668493150685,2022.4849315068493,18.99,13.15,3.36,0,Personal Products,0
169257-52,Merit ( Media and Information Services (B2B)),2017.0520547945205,2022.0301369863014,320.0,12.5,4.3,0,Media and Information Services (B2B),0
226546-30,Messari,2018.3287671232877,2022.7205479452055,300.0,4.0,1.0,0,Media and Information Services (B2B),0
434802-07,MetaMorphoSys,2016.468493150685,2022.6246575342466,9.96,0.6,0.07,0,Business/Productivity Software,0
89957-62,MeWe,2013.4931506849316,2022.131506849315,156.39,2.9,0.6,0,Social/Platform Software,0
327345-85,MicroMGx,2017.0,2022.668493150685,11.46,1.0,0.15,0,Drug Discovery,0
51699-88,Micronotes,2010.0109589041097,2022.9561643835616,21.53,5.45,0.45,0,Business/Productivity Software,0
59267-98,MICROrganic,2014.676712328767,2022.2219178082191,17.21,3.88,0.38,0,Environmental Services (B2B),0
169109-65,MicroVascular Tissues,2014.654794520548,2023.186301369863,79.11,7.01,2.01,0,Discovery Tools (Healthcare),0
228110-95,Miko (AI & Saas Platform),2016.454794520548,2022.5863013698631,293.53,1.78,0.4,0,Electronics (B2C),0
155185-48,Mind Foundry,2016.1698630136987,2022.8575342465754,109.38,5.76,1.64,0,Business/Productivity Software,0
223449-22,MindsDB,2018.0,2023.1013698630136,55.5,2.0,0.1,0,Database Software,0
115521-85,MinIO,2015.4575342465753,2022.0657534246575,1003.0,11.0,3.3,0,Database Software,1
150368-05,Minor Figures,2015.1260273972603,2022.4082191780822,174.66,1.19,0.23,0,Beverages,0
268171-30,Mirvie,2018.0,2022.386301369863,155.0,16.0,5.8,0,Diagnostic Equipment,0
161809-30,Miss Jones Baking Co,2016.4164383561645,2022.8520547945207,23.0,7.5,2.5,0,Food Products,0
108328-51,Miyoko's Creamery,2014.3698630136987,2022.3917808219178,219.0,5.33,0.83,0,Food Products,0
172153-72,MJoose,2014.1616438356164,2023.1068493150685,50.02,5.5,2.0,0,Electronics (B2C),0
52244-02,MNTN,2009.6712328767123,2022.0027397260274,2019.0,1.6,0.1,0,Media and Information Services (B2B),1
170866-72,Model9,2017.0,2023.3123287671233,40.0,3.15,1.25,0,Business/Productivity Software,0
185283-82,Modern Electron,2016.0,2023.2356164383561,180.8,27.4,10.4,0,Alternative Energy Equipment,0
184551-04,Modjoul,2017.5013698630137,2022.2219178082191,42.0,1.0,0.25,Industrial Workplace Safety,Electronic Equipment and Instruments,0
94063-60,MoEngage,2015.0,2022.3780821917808,700.0,4.0,0.75,0,Business/Productivity Software,0
234558-01,Mojo Vision,2016.7397260273972,2023.2575342465752,100.4,48.0,21.5,Assistive Tech,Industrial Supplies and Parts,0
87779-80,MOMO BOARD,2010.66301369863,2022.4136986301369,31.0,3.5,0.5,0,Social/Platform Software,0
155796-94,Monetary Metals,2016.2109589041097,2022.3150684931506,26.0,1.05,0.05,0,Other Financial Services,0
64315-90,Monterosa,2015.7643835616439,2022.123287671233,18.01,7.06,1.84,0,Media and Information Services (B2B),0
